acl 2.2.52-4
acpid 2.0.29-2
adwaita-icon-theme 3.28.0-1
alsa-lib 1.1.6-1
alsa-utils 1.1.6-1
antergos-alerts 17.11.18-1
antergos-keyring 20170524-1
antergos-midnight-timers 1.0-3
antergos-mirrorlist 20170930-1
archlinux-keyring 20180404-1
argon2 20171227-3
at-spi2-atk 2.26.2-1
at-spi2-core 2.28.0-1
atk 2.28.1-1
attr 2.4.47-3
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7+4+gd8d8c67-1
b43-fwcutter 019-1
bash 4.4.019-1
bash-completion 2.8-1
bc 1.07.1-1
bind-tools 9.12.1-1
binutils 2.30-3
bison 3.0.4-3
bluez-libs 5.49-3
btrfs-progs 4.16-2
bubblewrap 0.2.1-1
bzip2 1.0.6-7
bzr 2.7.0-2
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.36.1-1
ca-certificates-utils 20170307-1
cabextract 1.6-3
cairo 1.15.12-1
cantarell-fonts 1:0.101-1
chromium 66.0.3359.139-1
cifs-utils 6.7-2
cmake 3.11.1-1
colord 1.4.3-1
compton 0.1_beta2.5-10
confuse 3.2.1-1
coreutils 8.29-1
cracklib 2.9.6-1
crda 4.14-1
cryptsetup 2.0.2-1
cups 2.2.7-2
cups-filters 1.20.3-2
cups-pk-helper 0.2.6-1
curl 7.59.0-2
db 5.3.28-3
dbus 1.12.6-1
dbus-glib 0.110-1
dconf 0.28.0-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.177-5
dhcpcd 7.0.4-1
dialog 1:1.3_20171209-1
diffutils 3.6-1
ding-libs 0.6.1-1
dmenu 4.8-1
dmraid 1.0.0.rc16.3-10
dnssec-anchors 20170711-1
dosfstools 4.1-1
double-conversion 3.0.0-1
e2fsprogs 1.44.1-1
efibootmgr 15-1
efivar 34-1
exfat-utils 1.2.8-1
exiv2 0.26-2
expat 2.2.5-1
f2fs-tools 1.10.0-1
fakeroot 1.22-1
feh 2.26-1
ffmpeg 1:3.4.2-2
fftw 3.3.7-1
file 5.33-1
filesystem 2018.1-2
findutils 4.6.0-2
firefox 59.0.2-2
flac 1.3.2-1
flex 2.6.4-1
fontconfig 2.13.0+10+g58f5285-1
foomatic-db-engine 4:4.0.13-1
freetype2 2.9.1-1
fribidi 1.0.2-1
fuse-common 3.2.2-2
fuse2 2.9.7-4
gawk 4.2.1-1
gc 7.6.4-1
gcc 7.3.1+20180406-1
gcc-libs 7.3.1+20180406-1
gconf 3.2.6+11+g07808097-3
gcr 3.28.0-3
gdbm 1.14.1-1
gdk-pixbuf2 2.36.12-1
geoclue2 2.4.7-1
geoip 1.6.11-1
geoip-database 20180403-1
gettext 0.19.8.1-2
ghostscript 9.23-1
giblib 1.2.4-6
giflib 5.1.4-1
git 2.17.0-1
glib-networking 2.56.0-1
glib2 2.56.1-1
glibc 2.27-2
gmp 6.1.2-1
gnome-autoar 0.2.3-1
gnome-desktop 1:3.28.1+3+g436ca8f0-1
gnome-themes-extra 3.28-1
gnupg 2.2.6-1
gnutls 3.5.18-1
gobject-introspection-runtime 1.56.1-1
gpgme 1.11.1-1
gpm 1.20.7-8
gptfdisk 1.0.3-1
graphite 1:1.3.11-1
grep 3.1-1
groff 1.22.3-7
grub 2:2.02-5
grub2-theme-antergos 0.1-1
gsettings-desktop-schemas 3.28.0+1+g85521dc-1
gsfonts 20170829-1
gsm 1.0.17-1
gssproxy 0.8.0-1
gtk-engine-murrine 0.98.2-3
gtk-update-icon-cache 3.22.30-1
gtk2 2.24.32-1
gtk3 3.22.30-1
guile 2.2.3-1
gulp 4.0.0-1
gvfs 1.36.1-1
gzip 1.9-1
harfbuzz 1.7.6-2
haveged 1.9.1-4
hicolor-icon-theme 0.17-1
hplip 3.18.4-2
htop 2.2.0-2
http-parser 2.8.1-1
hunspell 1.6.2-1
hwids 20171003-1
i3-gaps 4.15.0.1-2
i3blocks 1.4-6
i3lock 2.10-1
i3status 2.11-3
iana-etc 20180221-1
icu 61.1-1
idnkit 1.0-3
ijs 0.35-1
imagemagick 7.0.7.28-1
imlib2 1.5.1-1
inetutils 1.9.4-5
intel-ucode 20180312-1
iproute2 4.16.0-1
iptables 1.6.2-2
iputils 20161105.1f2bb12-2
ipw2100-fw 1.3-8
ipw2200-fw 3.1-6
iso-codes 3.76-1
iw 4.14-1
jack 0.125.0-3
jansson 2.10-3
jasper 2.0.14-1
jbig2dec 0.14-1
jfsutils 1.1.15-4
js52 52.7.3-2
json-c 0.13-1
json-glib 1.4.2-2
jsoncpp 1.8.4-2
kbd 2.0.4-1
keyutils 1.5.10-1
kmod 24-1
krb5 1.16-1
lame 3.100-1
lcms2 2.9-1
ldns 1.7.0-4
less 530-1
lib32-bzip2 1.0.6-2
lib32-expat 2.2.5-1
lib32-gcc-libs 7.3.1+20180406-1
lib32-glibc 2.27-2
